first,second,third,fourth,english
aufsuchen,sucht auf,suchte auf,aufgesucht,"to go to see, call on"
ausstellen,stellt aus,stellte aus,ausgestellt,"to display, issue, make out"
beinhalten,beinhaltet,beinhaltete,beinhaltet,"to contain, include"
bereitstellen,stellt bereit,stellte bereit,bereitgestellt,"to provide, put on standby"
berufen,beruft,berief,berufen,"to appoint"
bewähren,bewährt,bewährte,bewährt,"to prove itself"
bewältigen,bewältigt,bewältigte,bewältigt,"to cope with, overcome"
blühen,blüht,blühte,geblüht,"to bloom"
einreichen,reicht ein,reichte ein,eingereicht,"to submit"
einschlagen,schlägt ein,schlug ein,eingeschlagen,"to hammer in, smash, choose"
erfreuen,erfreut,erfreute,erfreut,"to please, take pleasure"
erholen,erholt,erholte,erholt,"to recover, relax"
erschießen,erschießt,erschoss,erschossen,"to shoot dead"
ersparen,erspart,ersparte,erspart,"to spare"
erstrecken,erstreckt,erstreckte,erstreckt,"to extend, include"
ertragen,erträgt,ertrug,ertragen,"to bear"
gestehen,gesteht,gestand,gestanden,"to confess"
indizieren,indiziert,indizierte,indiziert,"to infect"
konfrontieren,konfrontiert,konfrontierte,konfrontiert,"to confront"
löschen,löscht,löschte,gelöscht,"to put out, delete"
schweben,schwebt,schwebte,geschwebt,"to float, hover, be in the balance"
strahlen,strahlt,strahlte,gestrahlt,"to shine"
telefonieren,telefoniert,telefonierte,telefoniert,"to make a telephone call"
trösten,tröstet,tröstete,getröstet,"to comfort"
überstehen,übersteht,überstand,überstanden,"to get over, survive"
unterschreiben,unterschreibt,unterschrieb,unterschrieben,"to sign"
veranlassen,veranlasst,veranlasste,veranlasst,"to arrange, see to it"
verhaften,verhaftet,verhaftete,verhaftet,"to arrest"
verkehren,verkehrt,verkehrte,verkehrt,"to run, associate"
verpassen,verpasst,verpasste,verpasst,"to miss"
vorangehen,geht voran,ging voran,vorangegangen,"to go ahead, make progress"
weitergeben,gibt weiter,gab weiter,weitergegeben,"to pass on"
weitermachen,macht weiter,machte weiter,weitergemacht,"to carry on, continue"
zulegen,legt zu,legte zu,zugelegt,"to put on, get oneself sth"
zustehen,steht zu,stand zu,zugestanden,"to be entitled"
abheben,hebt ab,hob/hub ab,abgehoben,"lift off, withdraw"
abschneiden,schneidet ab,schnitt ab,abgeschnitten,"to cut off"
agieren,agiert,agierte,agiert,"to act"
anordnen,ordnet an,ordnete an,angeordnet,"to order, arrange"
anrichten,richtet an,richtete an,angerichtet,"to prepare, cause"
anstehen,steht an,stand an,angestanden,"to line up"
aufrufen,ruft auf,rief auf,aufgerufen,"to call out, up, upon"
aufschreiben,schreibt auf,schrieb auf,aufgeschrieben,"to write down"
aufspringen,springt auf,sprang auf,aufgesprungen,"to jump up, on, burst open"
ausdehnen,dehnt aus,dehnte aus,ausgedehnt,"to extend, expand"
ausnutzen,nutzt aus,nutzte aus,ausgenutzt,"to take advantage"
ausprobieren,probiert aus,probierte aus,ausprobiert,"to try out"
ausweichen,weicht aus,wich aus,ausgewichen,"to make way, evade, avoid"
beabsichtigen,beabsichtigt,beabsichtigte,beabsichtigt,"to intend"
beeinträchtigen,beeinträchtigt,beeinträchtigte,beeinträchtigt,"to restrict, damage"
begeben,begibt,begab,begeben,"to proceed"
begehen,begeht,beging,begangen,"to commit, make, celebrate"
bergen,birgt,barg,geborgen,"to rescue, hide"
beseitigen,beseitigt,beseitigte,beseitigt,"to eliminate"
charakterisieren,charakterisiert,charakterisierte,charakterisiert,"to characterize"
demonstrieren,demonstriert,demonstrierte,demonstriert,"to demonstrate"
dokumentieren,dokumentiert,dokumentierte,dokumentiert,"to document"
einlassen,lässt ein,ließ ein,eingelassen,"to let in, get involved"
erforschen,erforscht,erforschte,erforscht,"to explore, investigate"
erschöpfen,erschöpft,erschöpfte,erschöpft,"to exhaust"
erschweren,erschwert,erschwerte,erschwert,"to make more difficult"
erwachen,erwacht,erwachte,erwacht,"to wake up"
erwecken,erweckt,erweckte,erweckt,"to wake, arouse"
flüchten,flüchtet,flüchtete,geflüchtet,"to flee"
fressen,frisst,fraß,gefressen,"to eat"
gießen,gießt,goss,gegossen,"to water, pour"
gleichen,gleicht,glich,geglichen,"to be alike, be just like"
grüßen,grüßt,grüßte,gegrüßt,"to greet"
hervorgehen,geht hervor,ging hervor,hervorgegangen,"to come from, follow"
irren,irrt,irrte,geirrt,"to be wrong"
lauschen,lauscht,lauschte,gelauscht,"to listen, eavesdrop"
locken,lockt,lockte,gelockt,"to lure, tempt"
loswerden,wird los,wurde/ward los,losgeworden,"to get rid of"
sicherstellen,stellt sicher,stellte sicher,sichergestellt,"to confiscate, guarantee"
spiegeln,spiegelt,spiegelte,gespiegelt,"to shine, reflect"
stehlen,stiehlt,stahl,gestohlen,"to steal"
überwachen,überwacht,überwachte,überwacht,"to monitor, keep under surveillance"
überziehen,zieht über,zog über,übergezogen,"to cover, put on, overdraw"
umwandeln,wandelt um,wandelte um,umgewandelt,"to convert, change"
zurücklegen,legt zurück,legte zurück,zurückgelegt,"to put back, put aside, cover distance"
zusagen,sagt zu,sagte zu,zugesagt,"to promise, accept"
zusammenstellen,stellt zusammen,stellte zusammen,zusammengestellt,"to put together"
abwenden,wendet ab,wendete ab,abgewendet,"to turn away, avert"
ansiedeln,siedelt an,siedelte an,angesiedelt,"to settle, establish"
aufbewahren,bewahrt auf,bewahrte auf,aufbewahrt,"to keep, store"
aufschlagen,schlägt auf,schlug auf,aufgeschlagen,"to open, hit"
auswerten,wertet aus,wertete aus,ausgewertet,"to evaluate, analyze"
beleben,belebt,belebte,belebt,"to stimulate"
beschaffen,beschafft,beschaffte,beschafft,"to get hold of"
eilen,eilt,eilte,geeilt,"to hurry"
einsehen,sieht ein,sah ein,eingesehen,"to see, realize, look into"
entfalten,entfaltet,entfaltete,entfaltet,"to unfold, develop"
erhoffen,erhofft,erhoffte,erhofft,"to expect, hope for"
erleiden,erleidet,erlitt,erlitten,"to suffer"
festnehmen,nimmt fest,nahm fest,festgenommen,"to arrest, detain"
fixieren,fixiert,fixierte,fixiert,"to fix one's eyes, fixate"
freigeben,gibt frei,gab frei,freigegeben,"to release"
hassen,hasst,hasste,gehasst,"to hate"
hervorrufen,ruft hervor,rief hervor,hervorgerufen,"to evoke, arouse, cause"
hinnehmen,nimmt hin,nahm hin,hingenommen,"to accept"
klingeln,klingelt,klingelte,geklingelt,"to ring"
kommentieren,kommentiert,kommentierte,kommentiert,"to comment"
lagern,lagert,lagerte,gelagert,"to store, to camp"
plädieren,plädiert,plädierte,plädiert,"to plead"
rauschen,rauscht,rauschte,gerauscht,"to rustle, roar"
regnen,regnet,regnete,geregnet,"to rain"
rutschen,rutscht,rutschte,gerutscht,"to slide"
seufzen,seufzt,seufzte,geseufzt,"to sigh"
spezialisieren,spezialisiert,spezialisierte,spezialisiert,"to specialize"
strecken,streckt,streckte,gestreckt,"to stretch"
umarmen,umarmt,umarmte,umarmt,"to embrace"
unterstreichen,streicht unter,strich unter,untergestrichen,"to underline, emphasize"
verfallen,verfällt,verfiel,verfallen,"to deteriorate, expire"
vermindern,vermindert,verminderte,vermindert,"to reduce, decrease"
vernehmen,vernimmt,vernahm,vernommen,"to hear, learn sth from sb"
verschärfen,verschärft,verschärfte,verschärft,"to intensify, make more rigorous"
zurückgeben,gibt zurück,gab zurück,zurückgegeben,"to give back, return"
auflegen,legt auf,legte auf,aufgelegt,"to publish, put on, hang up"
aufreißen,reißt auf,riss auf,aufgerissen,"to tear open"
aufrichten,richtet auf,richtete auf,aufgerichtet,to put up right
auslegen,legt aus,legte aus,ausgelegt,"to lay out, design, interpret"
brüllen,brüllt,brüllte,gebrüllt,"to bellow, roar, shout"
durchziehen,zieht durch,zog durch,durchgezogen,"to pull through, pass through"
einlegen,legt ein,legte ein,eingelegt,"to put in, insert"
erlassen,erlässt,erließ,erlassen,"to enact, declare"
fotografieren,fotografiert,fotografierte,fotografiert,"to photograph"
gestatten,gestattet,gestattete,gestattet,"to allow, permit"
herausnehmen,nimmt heraus,nahm heraus,herausgenommen,"to take out"
hervorheben,hebt hervor,hob/hub hervor,hervorgehoben,"to emphasize, stress"
lügen,lügt,log,gelogen,"to tell a lie"
operieren,operiert,operierte,operiert,"to operate, have surgery"
schämen,schämt,schämte,geschämt,"to be ashamed"
servieren,serviert,servierte,serviert,"to serve"
strukturieren,strukturiert,strukturierte,strukturiert,"to structure"
übertreiben,übertreibt,übertrieb,übertrieben,"to exaggerate"
unterdrücken,unterdrückt,unterdrückte,unterdrückt,"to suppress"
verdoppeln,verdoppelt,verdoppelte,verdoppelt,"to double"
verdrängen,verdrängt,verdrängte,verdrängt,"to drive out, suppress"
vereinfachen,vereinfacht,vereinfachte,vereinfacht,"to simplify"
verwundern,verwundert,verwunderte,verwundert,to astonish
vorbeugen,beugt vor,beugte vor,vorgebeugt,"to lean forward, prevent"
vorlesen,liest vor,las vor,vorgelesen,"to read sth for sb"
wehen,weht,wehte,geweht,"to blow, flutter"
zerreißen,zerreißt,zerriss,zerrissen,"to tear up, to tear to pieces"
zielen,zielt,zielte,gezielt,"to aim"
zuführen,führt zu,führte zu,zugeführt,"to lead to sth, supply"
zurückweisen,weist zurück,wies zurück,zurückgewiesen,"to reject"
zutrauen,traut zu,traute zu,zugetraut,"to believe sb capable"
abgrenzen,grenzt ab,grenzte ab,abgegrenzt,"to enclose, differentiate, distinguish"
ablenken,lenkt ab,lenkte ab,abgelenkt,"to distract, deflect"
abreißen,reißt ab,riss ab,abgerissen,"to tear down, to tear off, stop"
abschalten,schaltet ab,schaltete ab,abgeschaltet,"to switch off"
