first,second,third,fourth,english
entlassen,entlässt,entließ,entlassen,"to dismiss, fire"
ergreifen,ergreift,ergriff,ergriffen,"to grab, seize"
erteilen,erteilt,erteilte,erteilt,"to give"
regieren,regiert,regierte,regiert,"to rule, govern"
stärken,stärkt,stärkte,gestärkt,"to strengthen"
trauen,traut,traute,getraut,"to trust, dare to"
wehren,wehrt,wehrte,gewehrt,"to defend oneself"
weisen,weist,wies,gewiesen,"to point"
widmen,widmet,widmete,gewidmet,"to dedicate"
zugehen,geht zu,ging zu,zugegangen,"to approach, close"
zurückführen,führt zurück,führte zurück,zurückgeführt,"to attribute, trace back"
ahnen,ahnt,ahnte,geahnt,"to suspect"
analysieren,analysiert,analysierte,analysiert,"to analyze"
aufgehen,geht auf,ging auf,aufgegangen,"to rise, open"
aussuchen,sucht aus,suchte aus,ausgesucht,"to choose"
ausziehen,zieht aus,zog aus,ausgezogen,"to move out, undress, to take off clothes"
erarbeiten,erarbeitet,erarbeitete,erarbeitet,"to work for, out"
lohnen,lohnt,lohnte,gelohnt,"to be worth it"
schalten,schaltet,schaltete,geschaltet,"to switch, shift"
verarbeiten,verarbeitet,verarbeitete,verarbeitet,"to use, process, assimilate"
versehen,versieht,versah,versehen,"to perform, provide"
wundern,wundert,wunderte,gewundert,"to surprise"
abbauen,baut ab,baute ab,abgebaut,"to reduce, dismantle"
abwarten,wartet ab,wartete ab,abgewartet,"to wait, wait out"
ausfallen,fällt aus,fiel aus,ausgefallen,"to drop out, be cancelled"
einbauen,baut ein,baute ein,eingebaut,"to install, build in, fit"
einbeziehen,bezieht ein,bezog ein,einbezogen,"to include"
interpretieren,interpretiert,interpretierte,interpretiert,"to interpret"
neigen,neigt,neigte,geneigt,"to bend, to lean"
ordnen,ordnet,ordnete,geordnet,"to arrange, sort"
raten,rät,riet,geraten,"to advise, guess"
schmecken,schmeckt,schmeckte,geschmeckt,"to taste"
vergeben,vergibt,vergab,vergeben,"to award, allocate, forgive, give away"
zusammensetzen,setzt zusammen,setzte zusammen,zusammengesetzt,"to put together"
ablegen,legt ab,legte ab,abgelegt,"take off, put, file"
abstimmen,stimmt ab,stimmte ab,abgestimmt,"to vote, coordinate"
anregen,regt an,regte an,angeregt,"to encourage, suggest, stimulate"
ärgern,ärgert,ärgerte,geärgert,"to annoy"
aufregen,regt auf,regte auf,aufgeregt,"to excite, upset, annoy"
ausbauen,baut aus,baute aus,ausgebaut,"to extend, improve"
ausweisen,weist aus,wies aus,ausgewiesen,"to identify, expel"
bedecken,bedeckt,bedeckte,bedeckt,"to cover"
bereiten,bereitet,bereitete,bereitet,"to make, cause"
beugen,beugt,beugte,gebeugt,"to bend"
entziehen,entzieht,entzog,entzogen,"to take away, remove"
erbringen,erbringt,erbrachte,erbracht,"to raise, produce"
erfinden,erfindet,erfand,erfunden,"to invent"
faszinieren,fasziniert,faszinierte,fasziniert,"to fascinate"
gewöhnen,gewöhnt,gewöhnte,gewöhnt,"to get used to"
grinsen,grinst,grinste,gegrinst,"to grin"
herkommen,kommt/kömmt her,kam her,hergekommen,"to come here"
klagen,klagt,klagte,geklagt,"to complain"
klopfen,klopft,klopfte,geklopft,"to knock, beat"
mangeln,mangelt,mangelte,gemangelt,"to lack, be missing"
rauchen,raucht,rauchte,geraucht,"to smoke"
rollen,rollt,rollte,gerollt,"to roll"
vereinen,vereint,vereinte,vereint,"to unite"
versetzen,versetzt,versetzte,versetzt,"to move, transfer"
vorübergehen,geht vorüber,ging vorüber,vorübergegangen,"to pass by"
zustimmen,stimmt zu,stimmte zu,zugestimmt,"to agree, consent"
absolvieren,absolviert,absolvierte,absolviert,"to complete, graduate"
atmen,atmet,atmete,geatmet,"to breathe"
errichten,errichtet,errichtete,errichtet,"to build, erect"
herausfinden,findet heraus,fand heraus,herausgefunden,"to find out"
laden,lädt,lud,geladen,to load
lehnen,lehnt,lehnte,gelehnt,"to lean"
qualifizieren,qualifiziert,qualifizierte,qualifiziert,"to qualify"
überwinden,überwindet,überwand,überwunden,"to overcome"
verleihen,verleiht,verlieh,verliehen,"to rent, award"
vermögen,vermag,vermochte,vermocht,to be capable
vorgehen,geht vor,ging vor,vorgegangen,"to go on ahead, be fast, have priority"
zutreffen,trifft zu,traf zu,zugetroffen,"to be correct, apply to"
aufbringen,bringt auf,brachte auf,aufgebracht,"to raise, find"
aufmachen,macht auf,machte auf,aufgemacht,"to open"
auswirken,wirkt aus,wirkte aus,ausgewirkt,"to have an effect"
bearbeiten,bearbeitet,bearbeitete,bearbeitet,"to work on, revise"
bedrohen,bedroht,bedrohte,bedroht,"to threaten"
bewerben,bewirbt,bewarb,beworben,"to apply"
bewerten,bewertet,bewertete,bewertet,"to assess, judge"
decken,deckt,deckte,gedeckt,"to cover"
differenzieren,differenziert,differenzierte,differenziert,"to differentiate"
einsteigen,steigt ein,stieg ein,eingestiegen,"to board, get in"
eintreffen,trifft ein,traf ein,eingetroffen,"to arrive, come true, happen"
entnehmen,entnimmt,entnahm,entnommen,"to take, extract, infer"
erlernen,erlernt,erlernte,erlernt,"to learn"
hinterlassen,hinterlässt,hinterließ,hinterlassen,"to leave"
loben,lobt,lobte,gelobt,"to praise"
murmeln,murmelt,murmelte,gemurmelt,"to murmur, mutter"
registrieren,registriert,registrierte,registriert,to register
rennen,rennt,rannte,gerrant,to run
senden,sendet,sandte/sendete,gesandt/gesendet,"to send, to broadcast"
übergehen,geht über,ging über,übergegangen,"to pass into, to ignore"
verbleiben,verbleibt,verblieb,verblieben,"to remain"
verlängern,verlängert,verlängerte,verlängert,"to lengthen, extend"
vermissen,vermisst,vermisste,vermisst,"to miss"
verschließen,verschließt,verschloss,verschlossen,"to close, lock"
verurteilen,verurteilt,verurteilte,verurteilt,"to condemn"
vollziehen,vollzieht,vollzog,vollzogen,"to carry out"
vorziehen,zieht vor,zog vor,vorgezogen,"to prefer"
zucken,zuckt,zuckte,gezuckt,"to twitch, shrug"
zusammenarbeiten,arbeitet zusammen,arbeitete zusammen,zusammengearbeitet,"to cooperate"
zuwenden,wendet zu,wandte zu,zugewandt,"to turn towards, devote oneself to"
abbrechen,bricht ab,brach ab,abgebrochen,"to break off, stop"
aufkommen,kommt/kömmt auf,kam auf,aufgekommen,"to come up, arise, pay for"
bewahren,bewahrt,bewahrte,bewahrt,"to keep, protect"
dominieren,dominiert,dominierte,dominiert,"to dominate"
einhalten,hält ein,hielt ein,eingehalten,"to observe"
einschalten,schaltet ein,schaltete ein,eingeschaltet/eingeschalten,"to switch on"
fangen,fängt,fing,gefangen,"to catch"
gewährleisten,gewährleistet,gewährleistete,gewährleistet,"to guarantee"
identifizieren,identifiziert,identifizierte,identifiziert,"to identify"
klettern,klettert,kletterte,geklettert,"to climb"
küssen,küsst,küsste,geküsst,"to kiss"
nähern,nähert,näherte,genähert,"to approach"
profitieren,profitiert,profitierte,profitiert,"to profit"
scheiden,scheidet,schied,geschieden,"to separate, divorce"
streiten,streitet,stritt,gestritten,"to quarrel"
überschreiten,überschreitet,überschritt,überschritten,"to exceed"
verstorben,verstirbt,verstarb,verstorben,"to pass away"
